iter	Passed	Remaining
1335	137284	68231
1336	137384	68127
1337	137487	68024
1338	137588	67921
1339	137690	67817
1340	137790	67713
1341	137892	67610
1342	137992	67506
1343	138087	67399
1344	138190	67297
1345	138305	67200
1346	138409	67098
1347	138510	66994
1348	138611	66891
1349	138721	66791
1350	138818	66686
1351	138917	66581
1352	139016	66477
1353	139118	66374
1354	139220	66270
1355	139322	66168
1356	139424	66064
1357	139525	65961
1358	139639	65863
1359	139752	65766
1360	139867	65668
1361	139980	65570
1362	140082	65467
1363	140183	65364
1364	140285	65261
1365	140386	65157
1366	140486	65053
1367	140587	64949
1368	140689	64846
1369	140787	64741
1370	140891	64639
1371	140990	64535
1372	141091	64431
1373	141195	64329
1374	141295	64225
1375	141397	64122
1376	141497	64018
1377	141625	63926
1378	141727	63823
1379	141839	63725
1380	141954	63627
1381	142065	63528
1382	142168	63425
1383	142268	63322
1384	142371	63218
1385	142469	63114
1386	142570	63010
1387	142671	62907
1388	142772	62803
1389	142873	62699
1390	142986	62601
1391	143086	62497
1392	143188	62394
1393	143289	62290
1394	143391	62187
1395	143492	62084
1396	143592	61980
1397	143695	61877
1398	143795	61773
1399	143896	61670
1400	143996	61565
1401	144097	61462
1402	144198	61359
1403	144300	61255
1404	144400	61151
1405	144499	61047
1406	144597	60942
1407	144699	60839
1408	144800	60735
1409	144902	60632
1410	145002	60529
1411	145100	60424
1412	145202	60321
1413	145303	60217
1414	145402	60113
1415	145506	60011
1416	145619	59912
1417	145718	59808
1418	145815	59703
1419	145913	59598
1420	146017	59496
1421	146115	59391
1422	146216	59288
1423	146318	59184
1424	146418	59081
1425	146518	58977
1426	146619	58873
1427	146721	58770
1428	146820	58666
1429	146922	58563
1430	147021	58459
1431	147120	58354
1432	147222	58251
1433	147336	58153
1434	147437	58050
1435	147539	57947
1436	147636	57842
1437	147736	57738
1438	147836	57634
1439	147949	57536
1440	148050	57432
1441	148153	57329
1442	148257	57227
1443	148360	57124
1444	148460	57021
1445	148563	56918
1446	148665	56815
1447	148765	56711
1448	148870	56609
1449	148969	56505
1450	149069	56401
1451	149168	56297
1452	149269	56194
1453	149372	56091
1454	149473	55988
1455	149586	55889
1456	149687	55786
1457	149790	55683
1458	149904	55584
1459	150003	55480
1460	150104	55377
1461	150203	55273
1462	150307	55170
1463	150410	55068
1464	150508	54964
1465	150620	54864
1466	150734	54766
1467	150833	54661
1468	150935	54558
1469	151034	54454
1470	151134	54350
1471	151233	54246
1472	151335	54143
1473	151437	54040
1474	151538	53937
